final_term	GeneRatio	-Log(Adj P)	Count
React ER to Golgi Anterograde Transport	0.0313549832026876	1.49332552964779	28
React XBP1(S) activates chaperone genes	0.0145576707726764	1.45713863069759	13
React Translocation of SLC2A4 (GLUT4) to the plasma membrane	0.0179171332586786	1.36428269511776	16
React Formation of annular gap junctions	0.00559910414333707	1.32733861121262	5
React p130Cas linkage to MAPK signaling for integrins	0.00559910414333707	1.32733861121262	5
React AKT phosphorylates targets in the cytosol	0.00671892497200448	1.32733861121262	6
React Signal regulatory protein family interactions	0.00671892497200448	1.32733861121262	6
React PLC beta mediated events	0.0123180291153415	1.32733861121262	11
React Transport to the Golgi and subsequent modification	0.0347144456886898	1.32724127499256	31
React IRE1alpha activates chaperones	0.0145576707726764	1.32724127499256	13
React RAC2 GTPase cycle	0.019036954087346	1.32724127499256	17
React Clathrin-mediated endocytosis	0.0268756998880179	1.32724127499256	24
React RHOA GTPase cycle	0.0268756998880179	1.32724127499256	24
React Ca-dependent events	0.0100783874580067	1.32724127499256	9
