symbol	lab	pvalue
NUCB1	S+	0.00303401019909556
OPRL1	S+	0.000459251878096248
FURIN	S+	1.13597638814699e-06
PCSK6	S+	0.00134208110835434
PBX2	S+	0.00132752203486871
PFKFB3	S+	0.0028380861387567
PFKFB4	S+	2.63715233741116e-06
PGD	S+	2.79690269547532e-07
SERPINA1	S+	6.4388868067893e-07
PIK3CD	S+	2.27018407787825e-06
PKM	S+	0.000696813710058861
PLAUR	S+	1.52725965806779e-05
PLCB2	S+	0.000118214670834646
PLCG2	S+	0.000339668815083395
PLD2	S+	0.0032856368737192
PLOD1	S+	8.93706918117737e-05
SEPTIN4	S+	0.00106734832256048
POLR2A	S+	0.000902726784754203
POR	S+	3.70232872279306e-05
CTSA	S+	1.83666058928472e-08
PPP1R10	S+	0.000240225017513476
PPP4C	S+	1.08299718598434e-05
PRKACA	S+	1.20567769166935e-05
PRKCD	S+	9.39476010318928e-07
MAPK3	S+	6.11390894782073e-06
MAPK13	S+	0.00869222774806919
MAP2K3	S+	0.00019523088111707
PSAP	S+	6.63015910259192e-06
PSMB3	S+	5.67381163094205e-05
PTAFR	S+	3.86565891945643e-07
PTGS1	S+	0.000107515650533789
QSOX1	S+	0.00110744283047583
PTPN6	S+	0.00013835721667735
PVR	S+	0.00528279227171641
NECTIN1	S+	1.75935265269777e-05
PXN	S+	2.15162593728848e-07
RGL2	S+	0.00271100212685227
RAB5C	S+	6.63873249106643e-06
RAC2	S+	0.000122617906712802
RAF1	S+	0.00335502639971951
RARA	S+	1.77905855746993e-07
DPF2	S+	6.31437449860148e-06
RPS6KA1	S+	8.83214513424782e-07
S100A11	S+	5.71430950496697e-07
SEC14L1	S+	0.000174556749282819
SECTM1	S+	2.05504954908982e-06
SELPLG	S+	2.81446584549118e-07
SH3BP2	S+	3.28111750562729e-05
ST3GAL2	S+	3.69772472557853e-05
ST3GAL4	S+	0.000137275424608739
SLC6A6	S+	0.00394542037229574
SLC9A1	S+	3.59382569544561e-06
SLC11A1	S+	0.000610772000818777
SMARCD3	S+	3.40962329985802e-05
SP1	S+	0.00612688589110579
SPI1	S+	5.78602857787492e-08
SPINT1	S+	8.39153576704208e-05
TRIM21	S+	0.000274432658451871
STAT3	S+	9.85291705208465e-05
STAT5A	S+	0.000361907514724478
STAT6	S+	4.43235807838949e-06
STK10	S+	6.95699952140906e-06
AURKC	S+	0.00748593028980795
STX5	S+	0.000114691714907943
STXBP2	S+	1.8063862260004e-06
SULT1A1	S+	6.42076358054236e-05
SUPT6H	S+	0.00539605748026362
SYK	S+	0.000100292254784595
TALDO1	S+	6.59116216363843e-07
TAPBP	S+	9.77143341871749e-05
TBXAS1	S+	4.07887729477596e-05
TCN2	S+	0.000586168311819067
TGM3	S+	4.22958801439531e-05
THBS1	S+	0.000821138445222183
THBS3	S+	0.00447043961703187
TIMP2	S+	4.04142099658257e-07
TKT	S+	1.0619977360631e-06
TLE3	S+	3.83352620545816e-07
TLN1	S+	0.000140546835826374
TNFAIP2	S+	0.000326600492392287
TNFRSF1A	S+	6.66669110130786e-06
TNFRSF1B	S+	5.46145348995389e-06
TNNI2	S+	0.00011383284096832
TOP3A	S+	0.000317393198106399
TPD52L2	S+	4.67055943797756e-05
TRPC2	S+	0.00770404184893884
TRPM2	S+	0.00100095995601295
TUBA4A	S+	3.10408845198517e-05
TYK2	S+	2.61273651471705e-05
TYROBP	S+	1.08022288943683e-05
UPK3A	S+	0.000505769725219913
USF1	S+	0.000123699836722866
VASP	S+	1.33113036432582e-08
BEST1	S+	0.000264494415848466
VWF	S+	0.000220586559465535
WIPF1	S+	0.00175367261137693
LAT2	S+	0.000167607515292447
