Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
BP	GO:0045088	BP Regulation of innate immune response	0.0608974358974359	1.88405534877309	2.73272091648136e-08	9.51377267637868e-06	5.02164722989466	76	ADAM8/ADAR/AKT1/ARRB2/SERPING1/CD14/CYBA/FCN1/FGR/FFAR2/GPS2/GRN/HCK/HLA-B/HLA-E/HSPA1A/IRF1/IRF7/LAMP1/LGALS9/LRCH4/MEFV/MYD88/NINJ1/OAS1/PAK1/PLCG2/PTPN6/PVR/SEC14L1/SLC19A1/SPI1/TRIM21/SYK/TGFB1/TYROBP/NR1H2/VAV1/TRIM25/MAPKAPK3/SQSTM1/MAPKAPK2/ISG15/N4BP1/FLOT1/TNIP1/KAT5/CD300C/TRAFD1/LILRA2/TREX1/CD300A/NLRP1/SIRT2/ZDHHC5/SMPDL3B/PYCARD/SLC15A3/PARP14/NAGK/NPLOC4/GPR108/ZNFX1/NLRX1/CPTP/ZBP1/TRIM11/ZDHHC18/ZDHHC12/RNF185/NLRP3/RASGRP4/CD300LF/PIK3R6/NLRP6/NCF1
BP	GO:0016032	BP Viral process	0.0592948717948718	1.87995779473052	4.59339009152133e-08	1.49254555373833e-05	4.82607240496558	74	ADAR/GRK2/AKT1/ANPEP/SCARB1/CFL1/CSF1R/CSNK2B/FCN1/GSK3A/GSN/HLA-DRB1/HSPA1A/IRF7/ITGA5/ITGB3/ITGB5/LAMP1/LGALS9/MGAT1/OAS1/OAS2/OAZ2/P4HB/FURIN/PCBP1/CHMP1A/PVR/NECTIN1/SELPLG/ST3GAL2/ST3GAL4/SP1/TRIM21/USF1/USF2/VCP/ZFP36/TRIM25/RAB7A/NRP1/CLDN9/CTDP1/ISG15/N4BP1/SETDB1/TNIP1/IFITM2/ST6GALNAC2/WWP2/MGAT4B/MON1B/LAMP3/CHMP2A/F11R/INPP5K/VPS37C/EDEM2/ZNFX1/VPS18/VPS37B/TRIM11/TRIM8/RAB1B/ATG16L2/TMEM250/LRSAM1/MVB12A/CHMP4B/APOBEC3A/TPCN2/RAB43/CLEC4G/RNASEK
BP	GO:0019221	BP Cytokine-mediated signaling pathway	0.0576923076923077	1.88096535192852	6.84808532409424e-08	1.96338634527267e-05	4.70699423371087	72	ACTN4/ADAR/AKT1/CEBPA/CCR1/CSF1R/CSF3R/CSNK2B/DOK1/PTK2B/FCER1G/GPS2/GSTP1/HCK/HCLS1/HSPA1A/IL1RN/IL4R/CXCR1/CXCR2/IL10RB/IL16/ILK/IRF1/IRF7/MYD88/OAS1/OAS2/P4HB/PF4/PRKACA/MAPK3/PTPN6/RAF1/SPI1/STAT3/STAT5A/STAT6/SYK/TNFRSF1A/TNFRSF1B/TYK2/NR1H2/LAPTM5/ULK1/SOCS3/MAPKAPK2/ISG15/TBKBP1/SPATA2/LILRB2/AGPAT1/AGPAT2/IFITM2/SH2B2/TNFSF13B/LILRB4/LILRA1/LILRA2/TREX1/IL17RA/NKIRAS2/PYCARD/TOLLIP/PARP14/ZBP1/RNF185/CD300LF/NLRP6/PELI3/LILRA5/SLC27A1
BP	GO:0009611	BP Response to wounding	0.0600961538461538	1.83460645786574	1.06864210909616e-07	2.7484616268985e-05	4.56091032213015	75	ACTB/ACTG1/AGER/ALOX12/ALOX5/RHOA/BAX/TSPO/SERPING1/SCARB1/CDKN1A/CCR1/CNN2/COMT/EXTL3/F12/FCER1G/GP1BA/GP9/GRN/HMOX1/ILK/ITGA5/ITGB3/ITGB4/ITGB5/ITPK1/MYH9/PAK1/CHMP1A/PF4/SERPINA1/PLAUR/PLCG2/PRKCD/MAP2K2/MAP2K7/PTPN6/PTPRF/RAC1/RAF1/SELP/ST3GAL4/SLC11A1/SPP1/SRF/STAT3/SYK/TBXA2R/TGFB1/THBS1/TLN1/TYROBP/USF1/VAV1/VWF/ZFP36/NRP1/MYL9/CHMP2A/CERS2/F11R/GP6/MRTFA/RIPOR1/MPIG6B/FERMT3/EMILIN2/LRG1/JAML/CHMP4B/NLRP6/C6orf89/TREML1/PEAR1
BP	GO:0032103	BP Positive regulation of response to external stimulus	0.0721153846153846	1.72552174956021	1.12780534546512e-07	2.7484616268985e-05	4.56091032213015	90	ADAM8/AGER/AKT1/ALOX5AP/ARRB2/AZU1/C5AR1/CD14/CEBPA/CCR1/CSF1R/CYBA/PTK2B/FCN1/FFAR2/GPS2/GRN/HCK/HLA-E/HSPA1A/IL16/IRF1/IRF7/LAMP1/LGALS9/LRCH4/MEFV/MYD88/NINJ1/OAS1/PAK1/PLCG2/MAPK3/MAPK13/PVR/RAC1/RAC2/SEC14L1/SLC19A1/SPI1/STX4/SYK/TGFB1/THBS1/TNFRSF1A/TYROBP/USF1/VAV1/TRIM25/MAPKAPK3/NRP1/SQSTM1/MAPKAPK2/PPM1F/FLOT1/TNIP1/KAT5/LILRA2/TREX1/CD300A/NLRP1/SIRT2/DAPK2/IL17RA/PRKD2/ZDHHC5/SMPDL3B/PYCARD/SLC15A3/RNF31/NAGK/NPLOC4/GPR108/ZNFX1/GPSM3/NLRX1/CPTP/ZBP1/TRIM11/EMILIN2/ZDHHC18/ZDHHC12/LRSAM1/RNF185/NLRP12/NLRP3/RASGRP4/CD300LF/NLRP6/LILRA5
BP	GO:0006898	BP Receptor-mediated endocytosis	0.0376602564102564	2.18904995467495	1.41749944125672e-07	3.00386620725445e-05	4.52231941479207	47	GRK2/AP2A1/ARF1/ARRB1/ARRB2/ASGR1/CD14/CD63/AP2M1/CLU/CLN3/DLG4/DNM1/DNM2/CTTN/FCER1G/GAK/GRB2/CXCR1/CXCR2/ITGAM/ITGB2/ITGB3/LRP3/LRPAP1/PI4KB/PLCG2/RAC1/RALB/SYK/MARCO/UNC119/HGS/PDLIM7/FLOT1/LILRB4/FCHO1/STAB1/PIP5K1C/NECAB2/CXCL16/RIN3/STON2/ARHGAP27/TPCN2/ANKRD13D/RNASEK
BP	GO:0050727	BP Regulation of inflammatory response	0.0480769230769231	1.96910073911853	1.64778638742205e-07	3.21252434091803e-05	4.49315357305012	60	ADAM8/AGER/ALOX5/ALOX5AP/CEBPA/EXTL3/F12/FGR/FUT7/GBA1/GGT1/FFAR2/GPS2/GRN/GSTP1/HCK/HLA-DRB1/HLA-E/IL16/MEFV/MMP9/MYD88/NINJ1/CCN3/FURIN/PLCG2/PRKCD/MAPK13/PTPN6/STAT3/SYK/TGFB1/TNFRSF1A/TNFRSF1B/ZFP36/BAP1/PGLYRP1/SOCS3/SPATA2/LPCAT3/TNIP1/TREX1/MGLL/NLRP1/SBNO2/IL17RA/ZDHHC5/SMPDL3B/PYCARD/GPSM3/RHBDF2/NLRX1/AKNA/ZBP1/NLRP12/NLRP3/SIRPA/NLRP6/LILRA5/NCF1
BP	GO:0008360	BP Regulation of cell shape	0.0248397435897436	2.67178139228373	1.87500912385158e-07	3.51492094986639e-05	4.45408443776304	31	ALDOA/RHOG/FMNL1/CSF1R/DAPK3/DIAPH1/MARK2/PTK2B/FES/FGR/HCK/ITGB2/MYH9/PLXNA2/RAC1/LST1/NHERF1/WDR1/CDC42EP2/SEMA4D/CDC42EP1/CORO1A/PLXND1/PARVB/F11R/PLEKHO1/PARVG/SEMA4A/FGD3/ARAP1/PEAK3
BP	GO:0032418	BP Lysosome localization	0.0184294871794872	3.16574579027937	2.51942478161869e-07	4.54802829096649e-05	4.34217684245123	23	FES/FGR/IL4R/LGALS9/MYH9/PIK3CD/RAC2/STXBP2/SYK/LAT2/TFEB/PLEKHM1/GAB2/CD300A/PLEKHM2/RNF167/DEF8/LAMTOR1/KXD1/NDEL1/RAB34/UNC13D/BORCS8
BP	GO:0007186	BP G protein-coupled receptor signaling pathway	0.063301282051282	1.76400594462035	2.71148158881082e-07	4.60600456873109e-05	4.33667563559156	79	ADCY6/GRK2/AKT1/APLP2/ARRB1/ARRB2/AZU1/C5AR1/CALM3/ADGRE5/CCR1/LTB4R/ECE1/ADGRE1/PTK2B/FCN1/FPR1/FZD2/GNA15/GNAI2/GNAZ/GNB1/GNB2/GNG5/GP1BA/FFAR2/GRK6/GSK3A/HRH2/CXCR1/CXCR2/ITGB3/KCNQ1/OPRL1/PF4/PLCB2/PRKACA/PSAP/PTAFR/PTGIR/PTPN6/RAC1/RAC2/TBXA2R/VAV1/MARCO/S1PR4/HCAR3/LPAR2/NHERF1/HOMER3/ARHGEF11/RGS19/RGS14/MGLL/MGRN1/NCSTN/PIK3R5/PRKD2/C5AR2/GPR162/RAPGEFL1/INPP5K/NECAB2/ZDHHC7/AGTRAP/PREX1/RIC8A/KLF16/PPP1R9B/ORAI1/RASGRP4/SPNS2/PIK3R6/GPBAR1/OXER1/NLRP6/ADCY4/ADGRG3
