final_term	GeneRatio	-Log(Adj P)	Count
BP cell-substrate adhesion	0.0352564102564103	2.30309245364946	44
CC ruffle membrane	0.015420200462606	2.28492776453417	20
BP canonical inflammasome complex assembly	0.00881410256410256	2.27587280768623	11
BP positive regulation of superoxide anion generation	0.00641025641025641	2.27365064664764	8
BP positive regulation of leukocyte differentiation	0.0256410256410256	2.27365064664764	32
BP cellular response to lipopolysaccharide	0.0272435897435897	2.24192122356857	34
BP vacuolar transport	0.0248397435897436	2.20802318336521	31
MF phospholipid binding	0.0488750969743988	2.18205597962396	63
BP programmed necrotic cell death	0.0112179487179487	2.18125692050274	14
BP response to type II interferon	0.0184294871794872	2.16799820820373	23
BP response to vitamin D	0.00721153846153846	2.15377583848562	9
BP leukocyte mediated cytotoxicity	0.0216346153846154	2.125501283314	27
CC presynapse	0.0493446414803392	2.09670869345762	64
BP cell killing	0.0272435897435897	2.08890552228141	34
BP phagocytosis, engulfment	0.00961538461538462	2.06262948753482	12
BP homotypic cell-cell adhesion	0.0144230769230769	2.05549060557181	18
MF small GTPase binding	0.0356865787432118	2.04432419586956	46
BP regulation of pH	0.0144230769230769	1.995374565345	18
BP mast cell degranulation	0.00961538461538462	1.97424221181487	12
CC midbody	0.0254433307632999	1.96188042767617	33
BP regulation of tissue remodeling	0.0112179487179487	1.94070440589098	14
BP actin filament severing	0.00560897435897436	1.94070440589098	7
BP positive regulation of triglyceride metabolic process	0.00560897435897436	1.94070440589098	7
BP lipid transport	0.0384615384615385	1.93366835705444	48
BP glycerolipid biosynthetic process	0.0288461538461538	1.93322411825434	36
MF ubiquitin binding	0.0178432893716059	1.91776747220751	23
BP extrinsic apoptotic signaling pathway	0.0272435897435897	1.90200118238883	34
BP cellular response to peptide hormone stimulus	0.032051282051282	1.89400334847573	40
BP respiratory burst	0.00881410256410256	1.86547688370375	11
BP regulation of receptor internalization	0.0112179487179487	1.86547688370375	14
BP cell junction assembly	0.0384615384615385	1.85063594748167	48
CC membrane coat	0.015420200462606	1.83983873642678	20
CC coated membrane	0.015420200462606	1.83983873642678	20
BP regulation of cytokine production involved in inflammatory response	0.0104166666666667	1.83306292932647	13
BP inflammatory response to wounding	0.00641025641025641	1.83306292932647	8
MF calcium/calmodulin-dependent protein kinase activity	0.00620636152055857	1.82265966354084	8
MF GTPase activity	0.0364623739332816	1.82265966354084	47
MF monosaccharide binding	0.0124127230411171	1.82265966354084	16
BP interferon-mediated signaling pathway	0.015224358974359	1.82217211385725	19
BP antigen processing and presentation	0.0176282051282051	1.80612349435008	22
BP positive regulation of phosphorylation	0.0424679487179487	1.79641244972753	53
BP regulation of amine metabolic process	0.00560897435897436	1.78450055620169	7
BP positive regulation of triglyceride biosynthetic process	0.00480769230769231	1.78444714224448	6
BP protein localization to plasma membrane	0.032051282051282	1.78444714224448	40
BP regulation of viral life cycle	0.0200320512820513	1.78444714224448	25
BP amyloid-beta clearance	0.00801282051282051	1.78444714224448	10
BP release of sequestered calcium ion into cytosol	0.015224358974359	1.78004283629237	19
BP natural killer cell mediated immunity	0.0136217948717949	1.77391126459619	17
CC membrane microdomain	0.0277563608326908	1.73380390045213	36
BP substrate adhesion-dependent cell spreading	0.0136217948717949	1.71511938680192	17
BP positive regulation of cell development	0.0408653846153846	1.71234505713236	51
BP female pregnancy	0.0168269230769231	1.70744648942181	21
BP regulation of plasma lipoprotein particle levels	0.0104166666666667	1.69838002729568	13
BP cellular response to lipid	0.0536858974358974	1.69487943571911	67
BP cellular response to nutrient levels	0.0288461538461538	1.68985683273645	36
BP cell junction organization	0.0576923076923077	1.66768258056778	72
BP cellular response to biotic stimulus	0.0288461538461538	1.66141981088967	36
MF pattern recognition receptor activity	0.00930954228083786	1.66069588299395	12
CC integrin complex	0.0061680801850424	1.64879506735201	8
BP leukocyte proliferation	0.0360576923076923	1.63422755722076	45
BP membrane raft organization	0.00641025641025641	1.61261453269607	8
BP negative regulation of response to wounding	0.0120192307692308	1.61261453269607	15
BP heterotypic cell-cell adhesion	0.00961538461538462	1.59539165199259	12
BP membrane fission	0.00961538461538462	1.59539165199259	12
MF protein domain specific binding	0.0605120248254461	1.58121702993661	78
BP sprouting angiogenesis	0.0144230769230769	1.57441562330008	18
BP filopodium assembly	0.0104166666666667	1.57083423999417	13
BP peptidyl-tyrosine modification	0.0216346153846154	1.53845786834476	27
BP Schwann cell development	0.00801282051282051	1.52451250306654	10
BP regulation of blood coagulation	0.00961538461538462	1.52451250306654	12
CC pseudopodium	0.0038550501156515	1.5163528162313	5
BP G protein-coupled dopamine receptor signaling pathway	0.00641025641025641	1.50656080428717	8
BP glucose homeostasis	0.0248397435897436	1.50435010909804	31
BP positive regulation of T cell activation	0.0296474358974359	1.50050668540201	37
BP response to glucocorticoid	0.0136217948717949	1.4718195106898	17
BP ethanol metabolic process	0.00400641025641026	1.4718195106898	5
BP ethanol catabolic process	0.00400641025641026	1.4718195106898	5
BP protein lipidation	0.00961538461538462	1.46385576816597	12
BP establishment or maintenance of cell polarity	0.0248397435897436	1.44612431388296	31
BP multi-multicellular organism process	0.0176282051282051	1.44612431388296	22
BP response to peptide hormone	0.0376602564102564	1.42681546039489	47
BP regulation of transferase activity	0.046474358974359	1.42418408989792	58
BP cellular response to nitrogen compound	0.0536858974358974	1.42418408989792	67
BP regulation of chemotaxis	0.0208333333333333	1.4177489966037	26
BP defense response to protozoan	0.00641025641025641	1.4177489966037	8
BP regulation of response to cytokine stimulus	0.0216346153846154	1.41742720823933	27
BP maintenance of location	0.0328525641025641	1.41247513362132	41
BP regulation of alpha-beta T cell activation	0.0168269230769231	1.38909407792343	21
BP calcium ion transport	0.0344551282051282	1.38909407792343	43
BP regulation of kinase activity	0.0400641025641026	1.38533189047175	50
BP intracellular chemical homeostasis	0.0560897435897436	1.36984770765998	70
BP protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0.00480769230769231	1.36225787920745	6
MF myosin binding	0.0100853374709077	1.35585585456959	13
BP membrane assembly	0.00961538461538462	1.35138862725192	12
BP membrane biogenesis	0.0104166666666667	1.3513872433055	13
BP regulation of lipid localization	0.0176282051282051	1.3513872433055	22
BP negative regulation of phosphate metabolic process	0.030448717948718	1.3513872433055	38
BP response to nutrient levels	0.0432692307692308	1.3513872433055	54
BP glycolytic process through fructose-6-phosphate	0.00560897435897436	1.34541617966829	7
MF molecular sequestering activity	0.00930954228083786	1.34520641927518	12
MF GTPase regulator activity	0.0488750969743988	1.34520641927518	63
MF histone deacetylase binding	0.0162916989914663	1.34520641927518	21
BP alpha-beta T cell activation involved in immune response	0.0128205128205128	1.33880778544218	16
BP protein activation cascade	0.00400641025641026	1.33683792819137	5
BP negative regulation of inflammasome-mediated signaling pathway	0.00400641025641026	1.33683792819137	5
BP positive regulation of leukocyte tethering or rolling	0.00400641025641026	1.33683792819137	5
BP hexose catabolic process	0.00801282051282051	1.33683792819137	10
BP positive regulation of catabolic process	0.0528846153846154	1.33319557668352	66
MF sialic acid binding	0.00543056633048875	1.33083818502327	7
MF phosphotyrosine residue binding	0.00930954228083786	1.33083818502327	12
BP regulation of coagulation	0.00961538461538462	1.30900458136445	12
BP positive regulation of cellular component biogenesis	0.0456730769230769	1.3057984943375	57
