Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
CC	GO:0019866	CC Organelle inner membrane	0.0775510204081633	1.9894819466248	4.23704590912131e-07	7.5701886909634e-05	4.12089329534499	57	ATP5F1C/ATP5PB/ATP5PF/ATP5PO/COX6C/COX7C/COX11/HSPD1/NDUFA4/NDUFA5/NDUFA6/NDUFB5/NDUFS4/NDUFS5/TRA2B/TMPO/UQCRB/UQCRH/MATR3/EXOG/LRPPRC/MRPS31/ATP5MG/CBX3/NEMP1/SUN1/MRPL42/MRPL13/MRPL15/COX16/TMEM14C/MRPS23/MRPS33/MPC1/MRPL50/TTC19/MCUB/PTCD3/TMEM126B/MRPL47/MRPS35/MRPS25/MRPS9/MRPS6/MRPL32/MRPL1/UQCC2/DMAC1/NDUFAF2/OMA1/GRPEL2/NDUFAF6/MICU2/MTX3/PLPP6/COA5/TIMM23
CC	GO:0044391	CC Ribosomal subunit	0.0394557823129252	2.73818567889584	6.30096215363177e-07	8.40593468277229e-05	4.07541398894654	29	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/MRPS31/RPL35/MRPL42/MRPL13/MRPL15/MRPS23/MRPS33/MRPL50/PTCD3/MRPL47/MRPS35/MRPS25/MRPS9/MRPS6/MRPL32/MRPL1
CC	GO:0098687	CC Chromosomal region	0.0557823129251701	2.00515703287303	1.51560627432161e-05	0.000902627736707093	3.04449132524335	41	ACTL6A/ATM/ATR/SEPTIN7/CENPC/HELLS/HNRNPA2B1/MSH2/ORC4/PPP1CC/PPP2R5C/RBBP4/XPO1/SMARCA5/HAT1/PRP4K/SMC3/BUB3/RAD50/SUGT1/CBX3/CLASP2/SUN1/POT1/NGDN/SS18L1/CHMP5/GAR1/SLF2/NUP133/NUP107/ZBTB10/MIS12/SMC6/THOC7/BOD1/CHMP7/UHRF2/NUDCD2/GPATCH11/SKA2
CC	GO:0098798	CC Mitochondrial protein-containing complex	0.0340136054421769	2.43075801749271	3.12551735342552e-05	0.00127016913795657	2.89613844377612	25	TOMM20/TOMM70/MRPS31/MRPL42/MRPL13/MRPL15/MRPS23/MRPS33/MPC1/MRPL50/TOMM7/MCUB/PTCD3/MRPL47/MRPS35/MRPS25/MRPS9/MRPS6/MRPL32/MRPL1/GRPEL2/MICU2/MTX3/TOMM5/TIMM23
CC	GO:0034709	CC Methylosome	0.00816326530612245	8.16734693877551	3.46502489239775e-05	0.00127016913795657	2.89613844377612	6	CLNS1A/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG
CC	GO:0005763	CC Mitochondrial small ribosomal subunit	0.0122448979591837	4.59413265306122	8.99309488285102e-05	0.0025369993985306	2.59567963574038	9	MRPS31/MRPL42/MRPS23/MRPS33/PTCD3/MRPS35/MRPS25/MRPS9/MRPS6
CC	GO:0120114	CC Sm-like protein family complex	0.0204081632653061	2.78432282003711	0.000264722822788177	0.00567565732057852	2.2459838338408	15	CLNS1A/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/SF3A3/LSM1/LSM3/LSM8/LUC7L3/PRPF39/LSM11
CC	GO:0030684	CC Preribosome	0.0217687074829932	2.58767427763184	0.000396709072565464	0.00817831011134957	2.08733642556275	16	RPS24/MPHOSPH10/EMG1/WDR3/KRR1/WDR43/MDN1/NGDN/UTP25/DNTTIP2/RRP15/UTP18/RPF1/WDR75/UTP23/MAK16
CC	GO:0098803	CC Respiratory chain complex	0.019047619047619	2.78885017421603	0.000413096751665723	0.00820073551454916	2.08614719449616	14	ATP5F1C/ATP5PB/ATP5PF/ATP5PO/COX7C/NDUFA4/NDUFA5/NDUFA6/NDUFB5/NDUFS4/NDUFS5/UQCRB/UQCRH/ATP5MG
CC	GO:0035098	CC Esc/e(z) complex	0.00680272108843537	5.83381924198251	0.00106725638971524	0.0178765445277303	1.74771642500146	5	TRIM37/RBBP4/EED/MTF2/AEBP2
CC	GO:0000792	CC Heterochromatin	0.0149659863945578	2.80752551020408	0.00158562404148838	0.0242826996067934	1.61470303262315	11	CENPC/PHC1/HELLS/TOP2B/SMARCA5/PSIP1/CBX3/TASOR/ANAPC7/SMARCAD1/UHRF2
CC	GO:0034719	CC Smn-sm protein complex	0.00680272108843537	5.10459183673469	0.00210172530383187	0.0302462728149276	1.51932813491697	5	SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG
CC	GO:0015030	CC Cajal body	0.0136054421768707	2.81632653061224	0.00249417587858321	0.0342789300236051	1.46497274252761	10	HNRNPA2B1/XPO1/NOLC1/USPL1/TRIM22/ICE1/GAR1/ZC3H8/SNHG10/SCARNA17
