Sample_ID	nmf_subtypes	sil_width	prob
CGND.HRA.00394	3	0.646	0.453
CGND.HRA.00417	3	0.843	0.397
CGND.HRA.00418	3	0.526	0.37
CGND.HRA.00423	3	0.208	0.374
CGND.HRA.00424	2	0.674	0.406
CGND.HRA.00429	3	0.859	0.458
CGND.HRA.00430	3	0.707	0.442
CGND.HRA.00435	2	0.524	0.385
CGND.HRA.00436	3	0.875	0.477
CGND.HRA.00461	3	0.451	0.349
CGND.HRA.00462	2	0.2	0.34
CGND.HRA.00482	3	0.808	0.386
CGND.HRA.00483	3	0.879	0.449
CGND.HRA.00488	3	0.575	0.403
CGND.HRA.00489	3	0.878	0.463
CGND.HRA.00556	3	0.692	0.39
CGND.HRA.00557	3	0.771	0.432
CGND.HRA.00561	2	0.655	0.398
CGND.HRA.00562	3	0.757	0.405
CGND.HRA.00563	1	0.262	0.432
CGND.HRA.00574	1	0.46	0.425
CGND.HRA.00575	3	0.822	0.404
CGND.HRA.00581	3	0.864	0.436
CGND.HRA.00582	2	0.241	0.373
CGND.HRA.00586	1	0.396	0.456
CGND.HRA.00587	2	0.421	0.503
CGND.HRA.00599	2	0.112	0.413
CGND.HRA.00600	1	0.287	0.369
CGND.HRA.00603	3	0.497	0.408
CGND.HRA.00604	2	0.848	0.426
CGND.HRA.00607	1	0.717	0.428
CGND.HRA.00608	1	0.516	0.399
CGND.HRA.00611	3	0.87	0.434
CGND.HRA.00612	3	0.884	0.379
CGND.HRA.00615	2	0.64	0.499
CGND.HRA.00616	1	0.419	0.413
CGND.HRA.00624	2	0.873	0.389
CGND.HRA.00627	1	0.794	0.425
CGND.HRA.00628	1	0.264	0.43
CGND.HRA.00631	2	0.211	0.389
CGND.HRA.00633	1	0.0503	0.393
CGND.HRA.00637	1	0.829	0.396
CGND.HRA.00638	1	0.596	0.404
CGND.HRA.00640	3	0.595	0.4
CGND.HRA.00650	3	0.829	0.397
CGND.HRA.00651	3	0.133	0.391
CGND.HRA.00663	2	0.795	0.391
CGND.HRA.00664	2	0.808	0.412
CGND.HRA.00672	3	0.713	0.362
CGND.HRA.00673	3	0.827	0.406
CGND.HRA.00677	1	0.78	0.626
CGND.HRA.00678	1	0.712	0.592
CGND.HRA.00680	1	0.808	0.455
CGND.HRA.00681	1	0.817	0.49
CGND.HRA.00732	3	0.368	0.386
CGND.HRA.00733	2	0.855	0.429
CGND.HRA.00747	1	0.174	0.364
CGND.HRA.00748	3	0.538	0.368
CGND.HRA.01174	3	0.87	0.377
CGND.HRA.01175	3	0.886	0.422
CGND.HRA.01279	3	0.888	0.395
CGND.HRA.01280	3	0.769	0.398
CGND.HRA.01304	3	0.835	0.432
CGND.HRA.01305	3	0.454	0.435
CGND.HRA.01320	2	0.464	0.371
CGND.HRA.01321	3	0.898	0.407
CGND.HRA.01374	3	0.89	0.416
CGND.HRA.01375	3	0.878	0.417
CGND.HRA.01384	1	0.282	0.419
CGND.HRA.01386	3	0.899	0.445
CGND.HRA.01387	3	0.853	0.493
CGND.HRA.01390	3	0.841	0.359
CGND.HRA.01394	3	0.623	0.432
CGND.HRA.01398	3	0.403	0.398
CGND.HRA.01399	3	0.507	0.413
CGND.HRA.01403	2	0.289	0.512
CGND.HRA.01407	1	0.65	0.402
CGND.HRA.01414	3	0.893	0.457
CGND.HRA.01415	3	0.571	0.436
CGND.HRA.01424	2	0.655	0.424
CGND.HRA.01425	3	0.517	0.461
CGND.HRA.01428	3	0.786	0.419
CGND.HRA.01429	3	0.892	0.457
CGND.HRA.01437	3	0.83	0.425
CGND.HRA.01438	3	0.162	0.409
CGND.HRA.01445	3	0.87	0.441
CGND.HRA.01452	1	0.767	0.412
CGND.HRA.01453	1	0.69	0.361
CGND.HRA.01461	2	0.879	0.452
CGND.HRA.01468	2	0.822	0.445
CGND.HRA.01469	1	0.774	0.413
