Sample_ID	nmf_subtypes_sample	nmf_subtypes_con	sil_width_con	sil_width_sample	prob
A001_16	2	1	0.407	0.876	0.366
A001_91	3	1	0.339	0.114	0.35
A009_00	1	2	0.595	0.271	0.428
A009_96	1	1	0.599	0.814	0.646
A017_05	3	3	0.438	0.645	0.385
A018_95	1	1	0.481	0.86	0.392
A028_13	3	3	0.497	0.766	0.467
A034_06	3	3	0.553	0.878	0.441
A041_03	3	3	0.541	0.885	0.445
A041_07	3	3	0.202	0.685	0.369
A044_10	3	3	0.408	0.823	0.447
A046_00	3	3	0.307	0.882	0.417
A047_00	3	3	0.276	0.701	0.432
A048_05	3	3	0.412	0.428	0.431
A063_08	3	3	0.403	0.801	0.455
A069_02	1	1	0.367	0.369	0.385
A072_02	3	3	0.25	0.249	0.37
A073_12	2	3	0.386	0.531	0.441
A075_91	1	1	0.353	0.812	0.551
A079_07	2	2	0.171	0.883	0.478
A081_91	3	3	0.286	0.824	0.376
A083_01	2	2	0.215	0.882	0.487
A085_00	3	3	0.167	0.879	0.407
A086_01	3	3	0.155	0.355	0.388
A089_08	3	3	-0.332	0.897	0.399
A090_95	2	2	-0.356	0.819	0.414
A093_04	2	2	0.0775	0.826	0.427
A093_07	3	3	0.0198	0.898	0.427
A094_05	3	3	0.0629	-0.0561	0.38
A097_92	3	3	0.0647	0.679	0.412
A098_09	2	2	0.338	0.195	0.373
A104_11	3	3	0.19	0.801	0.462
A104_92	3	3	0.272	0.558	0.401
A108_93	3	3	0.219	0.758	0.386
A109_00	1	1	-0.033	0.521	0.376
A110_06	3	3	0.106	0.891	0.461
A115_91	1	1	0.436	0.816	0.411
A116_04	2	2	0.326	0.497	0.457
A117_02	2	2	0.591	0.796	0.397
A119_07	3	3	0.519	0.778	0.44
A119_93	3	3	0.408	0.732	0.436
A123_05	2	3	0.41	0.638	0.444
A124_05	3	3	0.502	0.0665	0.361
A129_92	1	1	0.509	0.508	0.395
A130_13	3	3	0.48	0.815	0.421
A134_02	3	3	0.211	0.846	0.413
A138_05	3	3	0.216	0.833	0.427
A140_94	2	3	1.13e-05	0.189	0.383
A141_06	3	3	0.263	0.894	0.419
A141_99	1	1	0.151	0.456	0.428
A147_11	1	1	0.184	0.63	0.479
A148_13	1	1	0.573	0.847	0.462
A150_93	3	3	0.546	0.862	0.437
A151_10	3	3	0.579	0.731	0.391
A154_04	3	3	0.551	0.853	0.444
A154_06	3	3	0.518	0.763	0.447
A157_02	3	3	0.543	0.734	0.441
A157_04	1	3	0.497	0.103	0.4
A160_96	3	3	0.503	0.828	0.409
A162_09	3	3	0.505	0.864	0.387
A163_90	3	3	0.365	0.488	0.412
A171_90	3	3	0.474	0.798	0.431
A174_08	3	3	0.52	0.857	0.469
A177_09	3	3	0.423	0.882	0.37
A182_01	2	2	0.514	0.706	0.435
A188_06	3	3	0.493	0.891	0.435
A194_06	2	3	0.477	0.325	0.391
A200_02	2	2	0.472	0.693	0.566
A202_11	3	3	0.293	0.536	0.415
A203_12	2	2	0.214	0.549	0.527
A204_03	1	1	0.423	0.772	0.459
A205_09	3	3	0.504	0.313	0.422
A208_06	2	2	0.423	0.786	0.41
A216_99	2	2	-0.00446	0.353	0.364
A217_93	2	2	0.231	0.808	0.614
A218_00	1	1	0.199	0.458	0.475
A218_03	2	2	0.28	0.882	0.381
A218_09	3	3	0.339	0.6	0.364
A221_16	3	3	0.345	0.669	0.399
A226_03	3	3	0.451	0.679	0.444
A229_06	2	2	0.55	0.43	0.407
A230_93	3	3	0.509	0.788	0.432
A234_11	3	3	0.55	0.235	0.436
A237_12	3	3	0.602	0.885	0.456
A244_05	2	2	0.632	0.789	0.423
A249_09	2	3	0.617	0.44	0.392
A251_09	2	1	0.606	0.636	0.364
A257_11	1	1	0.652	0.782	0.352
A257_17	1	1	0.678	0.7	0.491
A260_16	2	3	0.674	0.593	0.403
A264_05	2	2	0.637	0.863	0.464
A274_17	1	2	0.688	0.148	0.406
A282_00	2	2	0.663	0.796	0.381
A282_92	3	3	0.676	0.897	0.359
A282_98	3	3	0.694	0.891	0.43
A283_93	1	1	0.524	0.798	0.362
A285_11	1	1	0.453	0.598	0.403
A292_93	3	3	0.481	0.597	0.391
A293_11	3	3	0.493	0.869	0.404
A298_97	3	3	0.567	0.659	0.41
A305_94	3	3	0.648	0.893	0.396
A319_95	3	3	0.676	0.305	0.372
A331_09	1	1	0.701	0.855	0.438
A348_08	1	1	0.701	0.851	0.357
A372_08	1	1	0.55	0.284	0.399
A375_12	3	3	0.627	0.882	0.423
A397_12	1	1	0.632	0.533	0.372
A398_12	2	2	0.648	0.606	0.515
A401_08	3	3	0.635	0.845	0.383
A401_13	2	3	0.643	0.281	0.388
A446_17	1	1	0.638	0.619	0.597
A447_13	1	1	0.631	0.816	0.48
CGND.HRA.00055	1	3	0.589	0.221	0.383
CGND.HRA.00056	3	3	0.574	0.59	0.451
CGND.HRA.00057	1	1	0.628	0.261	0.408
CGND.HRA.00058	1	1	0.576	0.815	0.465
CGND.HRA.00059	3	3	0.638	0.485	0.389
CGND.HRA.00060	1	1	0.644	0.307	0.381
CGND.HRA.00061	3	3	0.691	0.899	0.455
CGND.HRA.00062	3	3	0.689	0.753	0.46
CGND.HRA.00064	1	1	0.654	0.113	0.342
CGND.HRA.00065	1	1	0.654	0.623	0.407
CGND.HRA.00066	1	1	0.636	0.827	0.603
CGND.HRA.00068	3	3	0.675	0.772	0.48
CGND.HRA.00083	2	3	0.689	0.623	0.406
CGND.HRA.00084.2	1	1	0.696	0.812	0.351
CGND.HRA.00085	3	3	0.706	0.873	0.391
CGND.HRA.00086	2	2	0.72	0.847	0.603
CGND.HRA.00087	3	3	0.73	0.832	0.39
CGND.HRA.00088	3	3	0.727	0.843	0.405
CGND.HRA.00089.2	2	2	0.742	0.877	0.494
CGND.HRA.00090	3	3	0.745	0.771	0.44
CGND.HRA.00092	1	1	0.738	0.784	0.394
CGND.HRA.00095	2	3	0.744	0.337	0.394
CGND.HRA.00096	3	3	0.681	0.818	0.502
CGND.HRA.00134	3	3	0.729	0.842	0.399
CGND.HRA.00147	2	2	0.711	0.75	0.407
CGND.HRA.00193	3	3	0.711	0.62	0.419
CGND.HRA.00215	2	3	0.73	0.351	0.395
CGND.HRA.00216	3	3	0.722	0.46	0.419
CGND.HRA.00217	2	2	0.736	0.863	0.497
CGND.HRA.00219	3	3	0.741	0.869	0.423
CGND.HRA.00220	3	3	0.74	0.832	0.438
CGND.HRA.00221	3	3	0.735	0.893	0.5
