Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
BP	GO:0042063	BP Gliogenesis	0.170212765957447	8.24252859426885	1.4086607502449e-15	3.43572356984731e-12	11.463981785737	24	ENSG00000105695/ENSG00000081479/ENSG00000197430/ENSG00000103089/ENSG00000168329/ENSG00000158715/ENSG00000148826/ENSG00000124920/ENSG00000167552/ENSG00000172005/ENSG00000108381/ENSG00000169247/ENSG00000065361/ENSG00000168314/ENSG00000095970/ENSG00000006042/ENSG00000132702/ENSG00000010278/ENSG00000173786/ENSG00000184371/ENSG00000100146/ENSG00000176720/ENSG00000157227/ENSG00000169313
BP	GO:0008366	BP Axon ensheathment	0.120567375886525	12.7050715910612	2.22402276471864e-14	1.80813050771625e-11	10.7427702261087	17	ENSG00000105695/ENSG00000174607/ENSG00000013297/ENSG00000167755/ENSG00000103089/ENSG00000148826/ENSG00000124920/ENSG00000172005/ENSG00000108381/ENSG00000169247/ENSG00000065361/ENSG00000168314/ENSG00000102934/ENSG00000140678/ENSG00000006042/ENSG00000010278/ENSG00000100146
BP	GO:0098883	BP Synapse pruning	0.0354609929078014	39.6099290780142	1.10303236838522e-07	2.4457235877196e-05	4.61159262788496	5	ENSG00000168329/ENSG00000125730/ENSG00000095970/ENSG00000173369/ENSG00000159189
BP	GO:1905521	BP Regulation of macrophage migration	0.0425531914893617	16.580900544285	1.50622920042301e-06	0.00026392099207249	3.57852606495742	6	ENSG00000168329/ENSG00000095970/ENSG00000010278/ENSG00000184371/ENSG00000157227/ENSG00000169313
BP	GO:1903977	BP Positive regulation of glial cell migration	0.0283687943262411	43.21083172147	1.51492164371253e-06	0.00026392099207249	3.57852606495742	4	ENSG00000168329/ENSG00000095970/ENSG00000184371/ENSG00000169313
BP	GO:0031641	BP Regulation of myelination	0.0425531914893617	15.169760072431	2.58060583062817e-06	0.000370429460427415	3.43129448097425	6	ENSG00000105695/ENSG00000148826/ENSG00000124920/ENSG00000140678/ENSG00000006042/ENSG00000100146
BP	GO:0014013	BP Regulation of gliogenesis	0.0567375886524823	9.14075286415712	2.68907071129678e-06	0.000370429460427415	3.43129448097425	8	ENSG00000105695/ENSG00000081479/ENSG00000148826/ENSG00000124920/ENSG00000108381/ENSG00000095970/ENSG00000006042/ENSG00000100146
BP	GO:1905517	BP Macrophage migration	0.0425531914893617	12.084385142445	9.9682165608379e-06	0.00121562400959418	2.91520073082696	6	ENSG00000168329/ENSG00000095970/ENSG00000010278/ENSG00000184371/ENSG00000157227/ENSG00000169313
BP	GO:0097242	BP Amyloid-beta clearance	0.0354609929078014	15.6354983202688	1.57790597967689e-05	0.00171596358589732	2.76549193246147	5	ENSG00000081479/ENSG00000125730/ENSG00000095970/ENSG00000160255/ENSG00000038945
BP	GO:0032288	BP Myelin assembly	0.0283687943262411	19.8049645390071	4.48017199799817e-05	0.00420274596273751	2.37646686036706	4	ENSG00000105695/ENSG00000174607/ENSG00000168314/ENSG00000010278
BP	GO:0050829	BP Defense response to gram-negative bacterium	0.0425531914893617	9.14075286415712	4.98519449691677e-05	0.00450329236221481	2.34646985690673	6	ENSG00000240583/ENSG00000095970/ENSG00000018280/ENSG00000012223/ENSG00000187908/ENSG00000122585
BP	GO:0007422	BP Peripheral nervous system development	0.0425531914893617	8.1951577402788	9.2127055850629e-05	0.00802492461498872	2.09555903860511	6	ENSG00000174607/ENSG00000103089/ENSG00000169247/ENSG00000065361/ENSG00000132702/ENSG00000100146
