Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
BP	GO:0030199	BP Collagen fibril organization	0.0746268656716418	17.6108892158924	9.32735188244691e-06	0.00422665118322215	2.3740035921172	5	ENSG00000149257/ENSG00000130635/ENSG00000054598/ENSG00000196739/ENSG00000164692
BP	GO:0048844	BP Artery morphogenesis	0.0746268656716418	16.8969342476805	1.143400302654e-05	0.00422665118322215	2.3740035921172	5	ENSG00000163638/ENSG00000054598/ENSG00000074181/ENSG00000128917/ENSG00000163513
BP	GO:0007517	BP Muscle organ development	0.134328358208955	6.26928033925082	1.23126037188848e-05	0.00422665118322215	2.3740035921172	9	ENSG00000183963/ENSG00000096696/ENSG00000130702/ENSG00000054598/ENSG00000149591/ENSG00000175084/ENSG00000060138/ENSG00000128917/ENSG00000117318
BP	GO:0045765	BP Regulation of angiogenesis	0.119402985074627	6.94651741293532	1.87274918178965e-05	0.00422665118322215	2.3740035921172	8	ENSG00000198959/ENSG00000163638/ENSG00000142798/ENSG00000161638/ENSG00000054598/ENSG00000106211/ENSG00000184113/ENSG00000163513
BP	GO:0007179	BP Transforming growth factor beta receptor signaling pathway	0.104477611940299	8.4159730195178	1.90074056069452e-05	0.00422665118322215	2.3740035921172	7	ENSG00000137834/ENSG00000137507/ENSG00000204389/ENSG00000184113/ENSG00000089159/ENSG00000164692/ENSG00000163513
BP	GO:0003413	BP Chondrocyte differentiation involved in endochondral bone morphogenesis	0.0447761194029851	53.5874200426439	2.15565790705361e-05	0.00422665118322215	2.3740035921172	3	ENSG00000149257/ENSG00000196739/ENSG00000163513
BP	GO:0072001	BP Renal system development	0.119402985074627	6.09938114306516	4.73053808694586e-05	0.00613787316781226	2.21198209001439	8	ENSG00000137834/ENSG00000130702/ENSG00000054598/ENSG00000074181/ENSG00000187498/ENSG00000261371/ENSG00000197256/ENSG00000117318
BP	GO:0006936	BP Muscle contraction	0.119402985074627	5.78207229747218	6.8847482522352e-05	0.00788527226533395	2.10318330661019	8	ENSG00000198467/ENSG00000133392/ENSG00000183963/ENSG00000096696/ENSG00000152049/ENSG00000175084/ENSG00000138119/ENSG00000101335
BP	GO:0031589	BP Cell-substrate adhesion	0.119402985074627	5.73236967027328	7.31289426199918e-05	0.00788527226533395	2.10318330661019	8	ENSG00000163638/ENSG00000137834/ENSG00000130702/ENSG00000161638/ENSG00000143127/ENSG00000089159/ENSG00000187244/ENSG00000110799
BP	GO:0003007	BP Heart morphogenesis	0.104477611940299	6.60574486060265	8.85344067113363e-05	0.00788527226533395	2.10318330661019	7	ENSG00000096696/ENSG00000137834/ENSG00000130635/ENSG00000054598/ENSG00000184113/ENSG00000128917/ENSG00000163513
BP	GO:0071559	BP Response to transforming growth factor beta	0.104477611940299	6.55626362569177	9.27910522556775e-05	0.00788527226533395	2.10318330661019	7	ENSG00000137834/ENSG00000137507/ENSG00000204389/ENSG00000184113/ENSG00000089159/ENSG00000164692/ENSG00000163513
BP	GO:0061138	BP Morphogenesis of a branching epithelium	0.0895522388059701	8.02378481921941	0.000101177652690846	0.00788527226533395	2.10318330661019	6	ENSG00000198959/ENSG00000130702/ENSG00000184557/ENSG00000187498/ENSG00000128917/ENSG00000163513
BP	GO:0007178	BP Cell surface receptor protein serine/threonine kinase signaling pathway	0.119402985074627	5.46611206263763	0.000101798670434947	0.00788527226533395	2.10318330661019	8	ENSG00000137834/ENSG00000137507/ENSG00000204389/ENSG00000168874/ENSG00000184113/ENSG00000089159/ENSG00000164692/ENSG00000163513
BP	GO:0003179	BP Heart valve morphogenesis	0.0597014925373134	16.1338468945595	0.000109413277103714	0.00788527226533395	2.10318330661019	4	ENSG00000163638/ENSG00000137834/ENSG00000128917/ENSG00000163513
BP	GO:0003229	BP Ventricular cardiac muscle tissue development	0.0597014925373134	15.8777540867093	0.000116481221645909	0.00788527226533395	2.10318330661019	4	ENSG00000096696/ENSG00000163638/ENSG00000054598/ENSG00000128917
BP	GO:0001763	BP Morphogenesis of a branching structure	0.0895522388059701	7.35513608428446	0.000162843265798297	0.00975180634030574	2.01091493189457	6	ENSG00000198959/ENSG00000130702/ENSG00000184557/ENSG00000187498/ENSG00000128917/ENSG00000163513
BP	GO:0003158	BP Endothelium development	0.0746268656716418	9.12681119947707	0.000218437074453883	0.0121466616044534	1.91554306741418	5	ENSG00000168874/ENSG00000196739/ENSG00000184113/ENSG00000261371/ENSG00000128917
BP	GO:0043542	BP Endothelial cell migration	0.0895522388059701	6.88278789538546	0.00023327957134919	0.012523186855407	1.90228513936832	6	ENSG00000163638/ENSG00000106211/ENSG00000168874/ENSG00000163220/ENSG00000089159/ENSG00000128917
BP	GO:0002825	BP Regulation of t-helper 1 type immune response	0.0447761194029851	24.2007703418392	0.00025356053893517	0.0127352825523245	1.8949914150856	3	ENSG00000115602/ENSG00000077238/ENSG00000115594
BP	GO:0042060	BP Wound healing	0.119402985074627	4.71838918614475	0.000278064601722676	0.0127762165191446	1.89359773679812	8	ENSG00000096696/ENSG00000130635/ENSG00000161638/ENSG00000106211/ENSG00000138119/ENSG00000101335/ENSG00000244734/ENSG00000110799
BP	GO:0002063	BP Chondrocyte development	0.0447761194029851	23.4444962686567	0.000278992525145097	0.0127762165191446	1.89359773679812	3	ENSG00000149257/ENSG00000196739/ENSG00000163513
BP	GO:0001569	BP Branching involved in blood vessel morphogenesis	0.0447761194029851	22.0654082528534	0.000334673152156827	0.0133884340177817	1.87327021740237	3	ENSG00000187498/ENSG00000128917/ENSG00000163513
BP	GO:0141091	BP Transforming growth factor beta receptor superfamily signaling pathway	0.104477611940299	5.07397793640493	0.000444864068045011	0.0168939842425874	1.77226791522976	7	ENSG00000137834/ENSG00000137507/ENSG00000204389/ENSG00000184113/ENSG00000089159/ENSG00000164692/ENSG00000163513
BP	GO:0034109	BP Homotypic cell-cell adhesion	0.0597014925373134	10.1040253279059	0.000660883104821735	0.0223694563958139	1.65034456964351	4	ENSG00000096696/ENSG00000106211/ENSG00000101335/ENSG00000244734
BP	GO:0009408	BP Response to heat	0.0597014925373134	9.80684811237928	0.000739404079108918	0.0239844198160955	1.62007078266883	4	ENSG00000204389/ENSG00000106211/ENSG00000151929/ENSG00000101276
BP	GO:0035272	BP Exocrine system development	0.0447761194029851	15.9622102254684	0.000873844197993246	0.026677949338735	1.57384755650584	3	ENSG00000198959/ENSG00000130702/ENSG00000054598
BP	GO:0055010	BP Ventricular cardiac muscle tissue morphogenesis	0.0447761194029851	15.9622102254684	0.000873844197993246	0.026677949338735	1.57384755650584	3	ENSG00000096696/ENSG00000054598/ENSG00000128917
BP	GO:0042088	BP T-helper 1 type immune response	0.0447761194029851	15.3106914407554	0.000987245101430971	0.0271948073626503	1.5655140132097	3	ENSG00000115602/ENSG00000077238/ENSG00000115594
BP	GO:0007369	BP Gastrulation	0.0746268656716418	6.54645620067203	0.000995570982447699	0.0271948073626503	1.5655140132097	5	ENSG00000130635/ENSG00000161638/ENSG00000054598/ENSG00000168874/ENSG00000163513
BP	GO:0045446	BP Endothelial cell differentiation	0.0597014925373134	8.7745483110762	0.00112015584249285	0.0300703904614029	1.52186093258682	4	ENSG00000168874/ENSG00000196739/ENSG00000184113/ENSG00000261371
BP	GO:1902414	BP Protein localization to cell junction	0.0597014925373134	8.33582089552239	0.00135447497312337	0.0348993481937013	1.45718268417326	4	ENSG00000096696/ENSG00000161681/ENSG00000106211/ENSG00000261371
BP	GO:1902895	BP Positive regulation of mirna transcription	0.0447761194029851	13.396855010661	0.00145604325033626	0.0359850689011676	1.44387766142534	3	ENSG00000137834/ENSG00000168874/ENSG00000074181
BP	GO:0048010	BP Vascular endothelial growth factor receptor signaling pathway	0.0447761194029851	13.1618224666143	0.00153256529179908	0.0372844399895494	1.42847237560605	3	ENSG00000161638/ENSG00000054598/ENSG00000106211
BP	GO:0060390	BP Regulation of smad protein signal transduction	0.0447761194029851	11.7222481343284	0.00213922404601895	0.0460440297340645	1.33682667429763	3	ENSG00000137834/ENSG00000168874/ENSG00000163513
BP	GO:0035924	BP Cellular response to vascular endothelial growth factor stimulus	0.0447761194029851	11.5419058553387	0.00223636703793982	0.0460440297340645	1.33682667429763	3	ENSG00000054598/ENSG00000106211/ENSG00000128917
