final_term	GeneRatio	-Log(Adj P)	Count
React Neuronal System	0.1875	7.32103505482368	24
React Transmission across Chemical Synapses	0.1171875	3.65021546161309	15
React Neurotransmitter receptors and postsynaptic signal transmission	0.09375	2.93303299665242	12
React Aerobic respiration and respiratory electron transport	0.1015625	2.69859203111143	13
React Transcriptional Regulation by MECP2	0.046875	1.93992431173142	6
React Voltage gated Potassium channels	0.0390625	1.85781524509032	5
React Neurotoxicity of clostridium toxins	0.0234375	1.80418793819917	3
React Potassium Channels	0.0546875	1.80418793819917	7
React GPCR ligand binding	0.1171875	1.74462734959909	15
React Respiratory electron transport	0.0625	1.43990209126758	8
React G beta:gamma signalling through CDC42	0.0234375	1.10971419174023	3
