final_term	GeneRatio	-Log(Adj P)	Count
React Cell surface interactions at the vascular wall	0.0752688172043011	1.31776121591261	7
React Post-translational protein phosphorylation	0.0645161290322581	1.31153728201712	6
React Neutrophil degranulation	0.129032258064516	1.31153728201712	12
React Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	0.0645161290322581	1.31153728201712	6
React Integrin cell surface interactions	0.0537634408602151	1.31153728201712	5
React Initial triggering of complement	0.032258064516129	1.31153728201712	3
React Extracellular matrix organization	0.0967741935483871	1.30107009910984	9
React Degradation of the extracellular matrix	0.0645161290322581	1.30107009910984	6
React EGR2 and SOX10-mediated initiation of Schwann cell myelination	0.032258064516129	1.17631328712023	3
