final_term	GeneRatio	-Log(Adj P)	Count
BP gliogenesis	0.170212765957447	11.463981785737	24
BP axon ensheathment	0.120567375886525	10.7427702261087	17
BP synapse pruning	0.0354609929078014	4.61159262788496	5
BP regulation of macrophage migration	0.0425531914893617	3.57852606495742	6
BP positive regulation of glial cell migration	0.0283687943262411	3.57852606495742	4
BP regulation of myelination	0.0425531914893617	3.43129448097425	6
BP regulation of gliogenesis	0.0567375886524823	3.43129448097425	8
CC tertiary granule membrane	0.0476190476190476	3.35570541622382	7
BP macrophage migration	0.0425531914893617	2.91520073082696	6
BP amyloid-beta clearance	0.0354609929078014	2.76549193246147	5
MF cargo receptor activity	0.0428571428571429	2.55799168310713	6
MF mechanosensitive monoatomic ion channel activity	0.0285714285714286	2.55799168310713	4
CC apical plasma membrane	0.0884353741496599	2.48584382244262	13
CC myelin sheath	0.0340136054421769	2.4660170442151	5
BP myelin assembly	0.0283687943262411	2.37646686036706	4
BP defense response to Gram-negative bacterium	0.0425531914893617	2.34646985690673	6
CC apical part of cell	0.0884353741496599	2.27577972275455	13
CC blood microparticle	0.0476190476190476	2.27577972275455	7
CC cell body membrane	0.0272108843537415	2.27577972275455	4
BP peripheral nervous system development	0.0425531914893617	2.09555903860511	6
MF structural constituent of myelin sheath	0.0214285714285714	1.98530437367021	3
BP heterotypic cell-cell adhesion	0.0354609929078014	1.85179831847942	5
BP positive regulation of nervous system process	0.0283687943262411	1.79140389985239	4
BP plasma lipoprotein particle clearance	0.0283687943262411	1.61031641683508	4
BP response to macrophage colony-stimulating factor	0.0212765957446809	1.61031641683508	3
BP myelin maintenance	0.0212765957446809	1.61031641683508	3
BP complement activation, classical pathway	0.0283687943262411	1.61031641683508	4
BP receptor-mediated endocytosis	0.0638297872340425	1.60385338022866	9
BP positive regulation of cell development	0.0851063829787234	1.60385338022866	12
MF carbohydrate transmembrane transporter activity	0.0285714285714286	1.5996995789182	4
MF integrin binding	0.05	1.5996995789182	7
BP humoral immune response	0.0638297872340425	1.57447282631104	9
BP multicellular organismal-level chemical homeostasis	0.0354609929078014	1.56716908789872	5
BP response to axon injury	0.0354609929078014	1.52735518707382	5
BP phagocytosis, engulfment	0.0283687943262411	1.43878228085081	4
CC endocytic vesicle	0.0612244897959184	1.39953435521651	9
CC collagen-containing extracellular matrix	0.0680272108843537	1.39953435521651	10
CC plasma membrane raft	0.0340136054421769	1.39953435521651	5
CC membrane raft	0.054421768707483	1.39953435521651	8
CC contractile ring	0.0136054421768707	1.39045948415138	2
CC paranode region of axon	0.0136054421768707	1.3798168538746	2
CC basal part of cell	0.054421768707483	1.3798168538746	8
BP cholesterol storage	0.0212765957446809	1.34240017319472	3
BP positive regulation of receptor-mediated endocytosis	0.0283687943262411	1.3181443227778	4
BP iron ion transport	0.0283687943262411	1.31303098533122	4
BP regulation of non-canonical NF-kappaB signal transduction	0.0354609929078014	1.3084520405599	5
