Ensemble	OBB	AvgAcc
1	0.512820512820513	48.7179487179487
2	0.434782608695652	56.5217391304348
3	0.372093023255814	62.7906976744186
4	0.435643564356436	56.4356435643564
5	0.40952380952381	59.047619047619
6	0.432432432432432	56.7567567567568
7	0.405405405405405	59.4594594594595
8	0.414414414414414	58.5585585585586
9	0.441441441441441	55.8558558558559
10	0.378378378378378	62.1621621621622
11	0.387387387387387	61.2612612612613
12	0.348214285714286	65.1785714285714
13	0.357142857142857	64.2857142857143
14	0.401785714285714	59.8214285714286
15	0.401785714285714	59.8214285714286
16	0.383928571428571	61.6071428571429
17	0.392857142857143	60.7142857142857
18	0.401785714285714	59.8214285714286
19	0.348214285714286	65.1785714285714
20	0.357142857142857	64.2857142857143
21	0.357142857142857	64.2857142857143
22	0.339285714285714	66.0714285714286
23	0.357142857142857	64.2857142857143
24	0.357142857142857	64.2857142857143
25	0.321428571428571	67.8571428571429
26	0.330357142857143	66.9642857142857
27	0.357142857142857	64.2857142857143
28	0.348214285714286	65.1785714285714
29	0.339285714285714	66.0714285714286
30	0.366071428571429	63.3928571428571
31	0.357142857142857	64.2857142857143
32	0.366071428571429	63.3928571428571
33	0.383928571428571	61.6071428571429
34	0.383928571428571	61.6071428571429
35	0.357142857142857	64.2857142857143
36	0.410714285714286	58.9285714285714
37	0.366071428571429	63.3928571428571
38	0.357142857142857	64.2857142857143
39	0.383928571428571	61.6071428571429
40	0.375	62.5
41	0.348214285714286	65.1785714285714
42	0.357142857142857	64.2857142857143
43	0.375	62.5
44	0.348214285714286	65.1785714285714
45	0.357142857142857	64.2857142857143
46	0.357142857142857	64.2857142857143
47	0.348214285714286	65.1785714285714
48	0.321428571428571	67.8571428571429
49	0.339285714285714	66.0714285714286
50	0.330357142857143	66.9642857142857
51	0.321428571428571	67.8571428571429
52	0.3125	68.75
53	0.330357142857143	66.9642857142857
54	0.3125	68.75
55	0.303571428571429	69.6428571428571
56	0.3125	68.75
57	0.321428571428571	67.8571428571429
58	0.3125	68.75
59	0.321428571428571	67.8571428571429
60	0.3125	68.75
61	0.339285714285714	66.0714285714286
62	0.321428571428571	67.8571428571429
63	0.3125	68.75
64	0.303571428571429	69.6428571428571
65	0.294642857142857	70.5357142857143
66	0.303571428571429	69.6428571428571
67	0.294642857142857	70.5357142857143
68	0.303571428571429	69.6428571428571
69	0.285714285714286	71.4285714285714
70	0.303571428571429	69.6428571428571
71	0.3125	68.75
72	0.303571428571429	69.6428571428571
73	0.294642857142857	70.5357142857143
74	0.3125	68.75
75	0.3125	68.75
76	0.321428571428571	67.8571428571429
77	0.3125	68.75
78	0.3125	68.75
79	0.321428571428571	67.8571428571429
80	0.330357142857143	66.9642857142857
81	0.330357142857143	66.9642857142857
82	0.339285714285714	66.0714285714286
83	0.330357142857143	66.9642857142857
84	0.3125	68.75
85	0.303571428571429	69.6428571428571
86	0.321428571428571	67.8571428571429
87	0.3125	68.75
88	0.303571428571429	69.6428571428571
89	0.303571428571429	69.6428571428571
90	0.303571428571429	69.6428571428571
91	0.3125	68.75
92	0.303571428571429	69.6428571428571
93	0.294642857142857	70.5357142857143
94	0.321428571428571	67.8571428571429
95	0.3125	68.75
96	0.3125	68.75
97	0.303571428571429	69.6428571428571
98	0.3125	68.75
99	0.321428571428571	67.8571428571429
100	0.3125	68.75
101	0.321428571428571	67.8571428571429
102	0.303571428571429	69.6428571428571
103	0.303571428571429	69.6428571428571
104	0.303571428571429	69.6428571428571
105	0.303571428571429	69.6428571428571
106	0.294642857142857	70.5357142857143
107	0.285714285714286	71.4285714285714
108	0.303571428571429	69.6428571428571
109	0.303571428571429	69.6428571428571
110	0.285714285714286	71.4285714285714
111	0.285714285714286	71.4285714285714
112	0.276785714285714	72.3214285714286
113	0.294642857142857	70.5357142857143
114	0.285714285714286	71.4285714285714
115	0.276785714285714	72.3214285714286
116	0.285714285714286	71.4285714285714
117	0.276785714285714	72.3214285714286
118	0.276785714285714	72.3214285714286
119	0.285714285714286	71.4285714285714
120	0.285714285714286	71.4285714285714
121	0.285714285714286	71.4285714285714
122	0.285714285714286	71.4285714285714
123	0.276785714285714	72.3214285714286
124	0.267857142857143	73.2142857142857
125	0.267857142857143	73.2142857142857
126	0.276785714285714	72.3214285714286
127	0.276785714285714	72.3214285714286
128	0.258928571428571	74.1071428571429
129	0.258928571428571	74.1071428571429
130	0.267857142857143	73.2142857142857
131	0.276785714285714	72.3214285714286
132	0.276785714285714	72.3214285714286
133	0.267857142857143	73.2142857142857
134	0.267857142857143	73.2142857142857
135	0.285714285714286	71.4285714285714
136	0.258928571428571	74.1071428571429
137	0.25	75
138	0.258928571428571	74.1071428571429
139	0.25	75
140	0.258928571428571	74.1071428571429
141	0.25	75
142	0.258928571428571	74.1071428571429
143	0.258928571428571	74.1071428571429
144	0.258928571428571	74.1071428571429
145	0.25	75
146	0.258928571428571	74.1071428571429
147	0.25	75
148	0.25	75
149	0.25	75
150	0.258928571428571	74.1071428571429
151	0.25	75
152	0.258928571428571	74.1071428571429
153	0.267857142857143	73.2142857142857
154	0.267857142857143	73.2142857142857
155	0.267857142857143	73.2142857142857
156	0.258928571428571	74.1071428571429
157	0.258928571428571	74.1071428571429
158	0.258928571428571	74.1071428571429
159	0.258928571428571	74.1071428571429
160	0.258928571428571	74.1071428571429
161	0.267857142857143	73.2142857142857
162	0.25	75
163	0.267857142857143	73.2142857142857
164	0.258928571428571	74.1071428571429
165	0.276785714285714	72.3214285714286
166	0.258928571428571	74.1071428571429
167	0.276785714285714	72.3214285714286
168	0.276785714285714	72.3214285714286
169	0.267857142857143	73.2142857142857
170	0.303571428571429	69.6428571428571
171	0.285714285714286	71.4285714285714
172	0.294642857142857	70.5357142857143
173	0.294642857142857	70.5357142857143
174	0.294642857142857	70.5357142857143
175	0.294642857142857	70.5357142857143
176	0.285714285714286	71.4285714285714
177	0.294642857142857	70.5357142857143
178	0.294642857142857	70.5357142857143
179	0.294642857142857	70.5357142857143
180	0.285714285714286	71.4285714285714
181	0.294642857142857	70.5357142857143
182	0.285714285714286	71.4285714285714
183	0.285714285714286	71.4285714285714
184	0.285714285714286	71.4285714285714
185	0.276785714285714	72.3214285714286
186	0.294642857142857	70.5357142857143
187	0.285714285714286	71.4285714285714
188	0.285714285714286	71.4285714285714
189	0.285714285714286	71.4285714285714
190	0.285714285714286	71.4285714285714
191	0.285714285714286	71.4285714285714
192	0.285714285714286	71.4285714285714
193	0.285714285714286	71.4285714285714
194	0.276785714285714	72.3214285714286
195	0.276785714285714	72.3214285714286
196	0.294642857142857	70.5357142857143
197	0.294642857142857	70.5357142857143
198	0.294642857142857	70.5357142857143
199	0.294642857142857	70.5357142857143
200	0.285714285714286	71.4285714285714
201	0.276785714285714	72.3214285714286
202	0.285714285714286	71.4285714285714
203	0.285714285714286	71.4285714285714
204	0.285714285714286	71.4285714285714
205	0.285714285714286	71.4285714285714
206	0.285714285714286	71.4285714285714
207	0.276785714285714	72.3214285714286
208	0.276785714285714	72.3214285714286
209	0.285714285714286	71.4285714285714
210	0.294642857142857	70.5357142857143
211	0.294642857142857	70.5357142857143
212	0.294642857142857	70.5357142857143
213	0.294642857142857	70.5357142857143
214	0.285714285714286	71.4285714285714
215	0.285714285714286	71.4285714285714
216	0.294642857142857	70.5357142857143
217	0.276785714285714	72.3214285714286
218	0.276785714285714	72.3214285714286
219	0.276785714285714	72.3214285714286
220	0.276785714285714	72.3214285714286
221	0.276785714285714	72.3214285714286
222	0.267857142857143	73.2142857142857
223	0.276785714285714	72.3214285714286
224	0.276785714285714	72.3214285714286
225	0.267857142857143	73.2142857142857
226	0.267857142857143	73.2142857142857
227	0.267857142857143	73.2142857142857
228	0.267857142857143	73.2142857142857
229	0.276785714285714	72.3214285714286
230	0.276785714285714	72.3214285714286
231	0.276785714285714	72.3214285714286
232	0.276785714285714	72.3214285714286
233	0.267857142857143	73.2142857142857
234	0.267857142857143	73.2142857142857
235	0.267857142857143	73.2142857142857
236	0.267857142857143	73.2142857142857
237	0.258928571428571	74.1071428571429
238	0.258928571428571	74.1071428571429
239	0.267857142857143	73.2142857142857
240	0.267857142857143	73.2142857142857
241	0.267857142857143	73.2142857142857
242	0.267857142857143	73.2142857142857
243	0.267857142857143	73.2142857142857
244	0.276785714285714	72.3214285714286
245	0.276785714285714	72.3214285714286
246	0.267857142857143	73.2142857142857
247	0.267857142857143	73.2142857142857
248	0.267857142857143	73.2142857142857
249	0.267857142857143	73.2142857142857
250	0.267857142857143	73.2142857142857
251	0.267857142857143	73.2142857142857
252	0.267857142857143	73.2142857142857
253	0.267857142857143	73.2142857142857
254	0.267857142857143	73.2142857142857
255	0.267857142857143	73.2142857142857
256	0.267857142857143	73.2142857142857
257	0.267857142857143	73.2142857142857
258	0.267857142857143	73.2142857142857
259	0.267857142857143	73.2142857142857
260	0.267857142857143	73.2142857142857
261	0.267857142857143	73.2142857142857
262	0.276785714285714	72.3214285714286
263	0.276785714285714	72.3214285714286
264	0.285714285714286	71.4285714285714
265	0.276785714285714	72.3214285714286
266	0.285714285714286	71.4285714285714
267	0.285714285714286	71.4285714285714
268	0.276785714285714	72.3214285714286
269	0.276785714285714	72.3214285714286
270	0.276785714285714	72.3214285714286
271	0.276785714285714	72.3214285714286
272	0.276785714285714	72.3214285714286
273	0.276785714285714	72.3214285714286
274	0.276785714285714	72.3214285714286
275	0.276785714285714	72.3214285714286
276	0.276785714285714	72.3214285714286
277	0.285714285714286	71.4285714285714
278	0.285714285714286	71.4285714285714
279	0.285714285714286	71.4285714285714
280	0.285714285714286	71.4285714285714
281	0.294642857142857	70.5357142857143
282	0.294642857142857	70.5357142857143
283	0.276785714285714	72.3214285714286
284	0.285714285714286	71.4285714285714
285	0.276785714285714	72.3214285714286
286	0.267857142857143	73.2142857142857
287	0.276785714285714	72.3214285714286
288	0.258928571428571	74.1071428571429
289	0.276785714285714	72.3214285714286
290	0.285714285714286	71.4285714285714
291	0.276785714285714	72.3214285714286
292	0.276785714285714	72.3214285714286
293	0.267857142857143	73.2142857142857
294	0.267857142857143	73.2142857142857
295	0.267857142857143	73.2142857142857
296	0.267857142857143	73.2142857142857
297	0.267857142857143	73.2142857142857
298	0.267857142857143	73.2142857142857
299	0.267857142857143	73.2142857142857
300	0.267857142857143	73.2142857142857
301	0.25	75
302	0.25	75
303	0.258928571428571	74.1071428571429
304	0.25	75
305	0.258928571428571	74.1071428571429
306	0.267857142857143	73.2142857142857
307	0.258928571428571	74.1071428571429
308	0.258928571428571	74.1071428571429
309	0.267857142857143	73.2142857142857
310	0.258928571428571	74.1071428571429
311	0.258928571428571	74.1071428571429
312	0.267857142857143	73.2142857142857
313	0.258928571428571	74.1071428571429
314	0.25	75
315	0.25	75
316	0.258928571428571	74.1071428571429
317	0.258928571428571	74.1071428571429
318	0.258928571428571	74.1071428571429
319	0.267857142857143	73.2142857142857
320	0.267857142857143	73.2142857142857
321	0.267857142857143	73.2142857142857
322	0.258928571428571	74.1071428571429
323	0.267857142857143	73.2142857142857
324	0.267857142857143	73.2142857142857
325	0.267857142857143	73.2142857142857
326	0.267857142857143	73.2142857142857
327	0.267857142857143	73.2142857142857
328	0.267857142857143	73.2142857142857
329	0.285714285714286	71.4285714285714
330	0.276785714285714	72.3214285714286
331	0.267857142857143	73.2142857142857
332	0.276785714285714	72.3214285714286
333	0.267857142857143	73.2142857142857
334	0.267857142857143	73.2142857142857
335	0.267857142857143	73.2142857142857
336	0.267857142857143	73.2142857142857
337	0.276785714285714	72.3214285714286
338	0.276785714285714	72.3214285714286
339	0.285714285714286	71.4285714285714
340	0.267857142857143	73.2142857142857
341	0.267857142857143	73.2142857142857
342	0.258928571428571	74.1071428571429
343	0.267857142857143	73.2142857142857
344	0.258928571428571	74.1071428571429
345	0.258928571428571	74.1071428571429
346	0.258928571428571	74.1071428571429
347	0.258928571428571	74.1071428571429
348	0.258928571428571	74.1071428571429
349	0.276785714285714	72.3214285714286
350	0.258928571428571	74.1071428571429
351	0.267857142857143	73.2142857142857
