Ensemble	OBB	AvgAcc
1	0.404761904761905	59.5238095238095
2	0.421875	57.8125
3	0.417721518987342	58.2278481012658
4	0.379310344827586	62.0689655172414
5	0.329896907216495	67.0103092783505
6	0.320388349514563	67.9611650485437
7	0.314814814814815	68.5185185185185
8	0.279279279279279	72.0720720720721
9	0.243243243243243	75.6756756756757
10	0.261261261261261	73.8738738738739
11	0.243243243243243	75.6756756756757
12	0.243243243243243	75.6756756756757
13	0.223214285714286	77.6785714285714
14	0.223214285714286	77.6785714285714
15	0.1875	81.25
16	0.205357142857143	79.4642857142857
17	0.178571428571429	82.1428571428571
18	0.1875	81.25
19	0.1875	81.25
20	0.1875	81.25
21	0.196428571428571	80.3571428571429
22	0.178571428571429	82.1428571428571
23	0.1875	81.25
24	0.196428571428571	80.3571428571429
25	0.178571428571429	82.1428571428571
26	0.178571428571429	82.1428571428571
27	0.1875	81.25
28	0.1875	81.25
29	0.178571428571429	82.1428571428571
30	0.196428571428571	80.3571428571429
31	0.196428571428571	80.3571428571429
32	0.196428571428571	80.3571428571429
33	0.196428571428571	80.3571428571429
34	0.178571428571429	82.1428571428571
35	0.1875	81.25
36	0.178571428571429	82.1428571428571
37	0.169642857142857	83.0357142857143
38	0.178571428571429	82.1428571428571
39	0.169642857142857	83.0357142857143
40	0.178571428571429	82.1428571428571
41	0.178571428571429	82.1428571428571
42	0.1875	81.25
43	0.178571428571429	82.1428571428571
44	0.169642857142857	83.0357142857143
45	0.178571428571429	82.1428571428571
46	0.169642857142857	83.0357142857143
47	0.169642857142857	83.0357142857143
48	0.151785714285714	84.8214285714286
49	0.169642857142857	83.0357142857143
50	0.151785714285714	84.8214285714286
51	0.151785714285714	84.8214285714286
52	0.151785714285714	84.8214285714286
53	0.160714285714286	83.9285714285714
54	0.160714285714286	83.9285714285714
55	0.160714285714286	83.9285714285714
56	0.160714285714286	83.9285714285714
57	0.169642857142857	83.0357142857143
58	0.160714285714286	83.9285714285714
59	0.151785714285714	84.8214285714286
60	0.151785714285714	84.8214285714286
61	0.160714285714286	83.9285714285714
62	0.160714285714286	83.9285714285714
63	0.160714285714286	83.9285714285714
64	0.160714285714286	83.9285714285714
65	0.169642857142857	83.0357142857143
66	0.160714285714286	83.9285714285714
67	0.160714285714286	83.9285714285714
68	0.169642857142857	83.0357142857143
69	0.178571428571429	82.1428571428571
70	0.169642857142857	83.0357142857143
71	0.169642857142857	83.0357142857143
72	0.1875	81.25
73	0.169642857142857	83.0357142857143
74	0.1875	81.25
75	0.1875	81.25
76	0.1875	81.25
77	0.1875	81.25
78	0.196428571428571	80.3571428571429
79	0.1875	81.25
80	0.1875	81.25
81	0.1875	81.25
82	0.196428571428571	80.3571428571429
83	0.196428571428571	80.3571428571429
84	0.1875	81.25
85	0.178571428571429	82.1428571428571
86	0.1875	81.25
87	0.196428571428571	80.3571428571429
88	0.196428571428571	80.3571428571429
89	0.196428571428571	80.3571428571429
90	0.196428571428571	80.3571428571429
91	0.1875	81.25
92	0.1875	81.25
93	0.1875	81.25
94	0.1875	81.25
95	0.1875	81.25
96	0.1875	81.25
97	0.196428571428571	80.3571428571429
98	0.196428571428571	80.3571428571429
99	0.1875	81.25
100	0.1875	81.25
101	0.196428571428571	80.3571428571429
102	0.196428571428571	80.3571428571429
103	0.214285714285714	78.5714285714286
104	0.196428571428571	80.3571428571429
105	0.205357142857143	79.4642857142857
106	0.205357142857143	79.4642857142857
107	0.205357142857143	79.4642857142857
108	0.214285714285714	78.5714285714286
109	0.214285714285714	78.5714285714286
110	0.214285714285714	78.5714285714286
111	0.205357142857143	79.4642857142857
112	0.205357142857143	79.4642857142857
113	0.205357142857143	79.4642857142857
114	0.196428571428571	80.3571428571429
115	0.196428571428571	80.3571428571429
116	0.1875	81.25
117	0.196428571428571	80.3571428571429
118	0.169642857142857	83.0357142857143
119	0.178571428571429	82.1428571428571
120	0.178571428571429	82.1428571428571
121	0.196428571428571	80.3571428571429
122	0.1875	81.25
123	0.1875	81.25
124	0.196428571428571	80.3571428571429
125	0.196428571428571	80.3571428571429
126	0.1875	81.25
127	0.1875	81.25
128	0.1875	81.25
129	0.178571428571429	82.1428571428571
130	0.1875	81.25
131	0.196428571428571	80.3571428571429
132	0.1875	81.25
133	0.178571428571429	82.1428571428571
134	0.1875	81.25
135	0.196428571428571	80.3571428571429
136	0.1875	81.25
137	0.196428571428571	80.3571428571429
138	0.1875	81.25
139	0.1875	81.25
140	0.1875	81.25
141	0.1875	81.25
142	0.1875	81.25
143	0.1875	81.25
144	0.1875	81.25
145	0.1875	81.25
146	0.1875	81.25
147	0.1875	81.25
148	0.1875	81.25
149	0.1875	81.25
150	0.178571428571429	82.1428571428571
151	0.178571428571429	82.1428571428571
152	0.169642857142857	83.0357142857143
153	0.169642857142857	83.0357142857143
154	0.169642857142857	83.0357142857143
155	0.169642857142857	83.0357142857143
156	0.169642857142857	83.0357142857143
157	0.169642857142857	83.0357142857143
158	0.178571428571429	82.1428571428571
159	0.178571428571429	82.1428571428571
160	0.178571428571429	82.1428571428571
161	0.169642857142857	83.0357142857143
162	0.169642857142857	83.0357142857143
163	0.178571428571429	82.1428571428571
164	0.169642857142857	83.0357142857143
165	0.169642857142857	83.0357142857143
166	0.178571428571429	82.1428571428571
167	0.178571428571429	82.1428571428571
168	0.169642857142857	83.0357142857143
169	0.178571428571429	82.1428571428571
170	0.178571428571429	82.1428571428571
171	0.178571428571429	82.1428571428571
172	0.178571428571429	82.1428571428571
173	0.178571428571429	82.1428571428571
174	0.1875	81.25
175	0.1875	81.25
176	0.1875	81.25
177	0.1875	81.25
178	0.196428571428571	80.3571428571429
179	0.196428571428571	80.3571428571429
180	0.196428571428571	80.3571428571429
181	0.196428571428571	80.3571428571429
182	0.196428571428571	80.3571428571429
183	0.196428571428571	80.3571428571429
184	0.196428571428571	80.3571428571429
185	0.196428571428571	80.3571428571429
186	0.196428571428571	80.3571428571429
187	0.196428571428571	80.3571428571429
188	0.1875	81.25
189	0.1875	81.25
190	0.1875	81.25
191	0.196428571428571	80.3571428571429
192	0.1875	81.25
193	0.1875	81.25
194	0.1875	81.25
195	0.1875	81.25
196	0.1875	81.25
197	0.1875	81.25
198	0.1875	81.25
199	0.1875	81.25
