alpha	lambda	Accuracy	Kappa	AccuracySD	KappaSD
0.1	0.000397628379969789	0.752551111329572	0.280554455767615	0.0522492150629492	0.153429449963379
0.1	0.00397628379969789	0.762468474144885	0.296415001717049	0.0527790086016128	0.14928146301707
0.1	0.0397628379969789	0.786638940854093	0.324219204203235	0.0529080280027695	0.152025221724523
0.55	0.000397628379969789	0.750866740114054	0.292474063879727	0.0520521611652965	0.140411327211605
0.55	0.00397628379969789	0.761239038707505	0.308678437977313	0.0508730609318373	0.138894557462662
0.55	0.0397628379969789	0.799176194890845	0.367451124601988	0.0560157828516888	0.159952922852153
1	0.000397628379969789	0.741297230776137	0.283289814008292	0.052145745923368	0.12579975684324
1	0.00397628379969789	0.755091338180447	0.303876388225753	0.0548973073552586	0.140268824948659
1	0.0397628379969789	0.796531350840985	0.350183065100216	0.0504197346260749	0.150991964326298
