alpha	lambda	Accuracy	Kappa	AccuracySD	KappaSD
0.1	0.000340285851525954	0.819595717914911	0.426741854737094	0.0488030562449456	0.156169115076221
0.1	0.00340285851525954	0.819396538016073	0.419261699644577	0.0481150041461945	0.153255184162978
0.1	0.0340285851525954	0.814620455957315	0.370051817577646	0.0467350797715735	0.162786918597518
0.55	0.000340285851525954	0.810724298481203	0.405179207251113	0.048121021650463	0.156433700193853
0.55	0.00340285851525954	0.810445860582478	0.388172812513785	0.044740124723285	0.155457386411474
0.55	0.0340285851525954	0.806352247945029	0.330833766089032	0.0473256149988465	0.162253859991605
1	0.000340285851525954	0.801648832457119	0.379098665224895	0.052529601602354	0.174664208264331
1	0.00340285851525954	0.805661786027855	0.379541369319694	0.048495374276553	0.177971079643461
1	0.0340285851525954	0.801688415546301	0.297907265942455	0.0451198465449793	0.160123806103181
