alpha	lambda	Accuracy	Kappa	AccuracySD	KappaSD
0.1	0.000485100260969571	0.759866661023843	0.517299284123915	0.0559450104153847	0.111030036801651
0.1	0.00485100260969571	0.764077964711378	0.525832731660559	0.0570628433657006	0.112348039529861
0.1	0.0485100260969571	0.765697795127918	0.528171199089763	0.0505971860842224	0.101176504504567
0.55	0.000485100260969571	0.764244801688591	0.525599588015721	0.0520795565781266	0.103871187651142
0.55	0.00485100260969571	0.764707534653816	0.526685606527128	0.055692888773482	0.112740183799391
0.55	0.0485100260969571	0.757231051925419	0.512330731890314	0.0663143254277451	0.133087919428339
1	0.000485100260969571	0.754497933684966	0.506139919478197	0.0602980623006302	0.121264242359676
1	0.00485100260969571	0.756208893804567	0.50918324158175	0.0623933894022257	0.124606487026537
1	0.0485100260969571	0.737139661775554	0.472563173898364	0.0632572514685456	0.126433758665272
